increases^abundance	Succinic Acid	BCL2	0.73071243563422	
increases^abundance	agathisflavone	BCL2 	0.7303145446231	
increases^abundance	C646 compound	BCL2	0.7303250025749124	
increases^glucuronidation	Calcium, RELA	0.7301309630628967
increases^import	Pentanoic Acids	MMP9	0.7086759805679321
increases^uptake	Caffeine	MMP9	0.7086721658706665
increases^import	lipopolysaccharide, E. coli O26-B6	CCND1	0.7086615562438965
increases^import	Cobalt	BCL2	0.7086566686630249
decreases^reaction	oridonin	BCL2	0.7086523175239563
increases^import	cupric chloride	APC	0.7086488604545593
decreases^reaction	bisphenol A	NOS2	0.7086361050605774
decreases^reaction	Dexamethasone	ERBB2	0.7086313366889954
affects^activity	Insulin Glargine	PARP1	0.7086266279220581
affects^activity	retinol acetate	RELA	0.7086257338523865
increases^ADP-ribosylation	PS1145	AKT1	0.708623468875885
increases^oxidation	SR 144528	CTNNB1	0.7086113095283508
increases^oxidation	Sodium Chloride, Dietary	PTGS2	0.7086100578308105
increases^import	SIB 1757	CCND1	0.7086087465286255
increases^phosphorylation	isoliquiritigenin	AKT1	0.7086085081100464
increases^expression	Methapyrilene	JUN	0.7086061835289001
increases^chemical synthesis	cafestol	SOD2	0.7086020112037659
decreases^expression	Manganese	AKT1	0.7085984945297241
affects^activity	iron(II)-ascorbic acid complex	AKT1	0.7085967063903809
decreases^expression	nitrofen	PCNA	0.708594560623169
increases^localization	Sirolimus	RELA	0.7085934281349182
affects^activity	diphenidol	TP53	0.7085925936698914
decreases^expression	ML 7	CTNNB1	0.7085919976234436
decreases^reaction	alpha-Tocopherol	SOD2	0.7085915207862854
increases^expression	Apigenin	RELA	0.7085862755775452
increases^expression	Plant Extracts	BAX	0.7085847854614258
decreases^methylation	Homocysteine	TP53	0.7085843086242676
decreases^expression	Methotrexate	VEGFA	0.7085825204849243
decreases^expression	Curcumin	AKT1	0.7085781693458557
increases^cleavage	Atorvastatin	HSPB1	0.7085747122764587
affects^activity	dimethylmonothioarsinic acid	PTGS2	0.7085747122764587
increases^cleavage	diallyl trisulfide	CTNNB1	0.7085694670677185
affects^cotreatment	Cisplatin	CXCL10	0.708567202091217
decreases^expression	cypermethrin	AKT1	0.7085642218589783
affects^activity	CIGB-552 peptide	CASP8	0.7085614800453186
decreases^reaction	Active Hexose Correlated Compound	ODC1	0.7085599899291992
affects^reaction	KT 5720	PTGS2	0.7085565328598022
increases^phosphorylation	Soman	MYC	0.7085559368133545
increases^chemical synthesis	Meglumine Antimoniate	BCL2	0.7085556983947754
affects^metabolic processing	4,8-bis(4-hydroxy-3-methoxyphenyl)-3,7-dioxabicyclo(3.3.0)octane-2,6-dione	ACTA2	0.7085493803024292
increases^expression	sulforafan	CASP8	0.7085421085357666
decreases^expression	Tetradecanoylphorbol Acetate	IL1B	0.7085403800010681
increases^reaction	Curcumin	VEGFA	0.7085399031639099
increases^expression	estradiol 3-benzoate	BAX	0.708539605140686
increases^ADP-ribosylation	ginsenoside Rh1	MMP9	0.7085293531417847
affects^activity	1,4-dibromobenzene	PARP1	0.7085261344909668
decreases^expression	taiwanin C	PTGS2	0.7085254788398743
affects^activity	benzidine	PARP1	0.7085232138633728
decreases^reaction	Pyridostigmine Bromide	LEP	0.7085187435150146
decreases^expression	Glucose	VEGFA	0.7085185050964355
increases^expression	1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea	DNMT1	0.7085141539573669
increases^expression	cyclopropapyrroloindole	NFKB1	0.7085122466087341
affects^activity	fluphenacur	PARP1	0.7085114121437073
increases^chemical synthesis	Phytic Acid	ACTA2	0.7085102796554565
increases^secretion	squalestatin 1	TP53	0.7085031270980835
affects^cotreatment	Nickel	NOS2	0.7085001468658447
increases^import	N-(1-methylethyl)-1,1,2-trimethylpropylamine	DNMT1	0.7084977030754089
decreases^reaction	manganese (III) meso-tetrakis(N-ethylpyridinium-2-yl)porphyrin	IL1B	0.7084944844245911
decreases^activity	diminazene aceturate	RELA	0.708493709564209
increases^chemical synthesis	myrtenal	PARP1	0.7084932327270508
increases^expression	platycodin D	PTGS2	0.7084926962852478
decreases^expression	Glucose	MMP9	0.7084919810295105
increases^expression	Mevinphos	NOS2	0.7084912657737732
affects^cotreatment	Chondroitin Sulfates	NOS2	0.7084843516349792
increases^activity	Celecoxib	TP53	0.7084835171699524
increases^import	Pentanoic Acids	CASP8	0.7084819674491882
increases^import	indium trichloride	BCL2	0.7084819674491882
increases^activity	Acetaminophen	IL1B	0.7084770798683167
increases^import	ethylene glycol monopropyl ether	BCL2	0.7084757089614868
increases^reaction	Cholesterol, Dietary	NOS2	0.7084755301475525
increases^secretion	Scutellaria baicalensis extract	HSPB1	0.7084750533103943
increases^import	2-(2-(3,5-difluorophenyl)-2-hydroxyacetamido)-N-(3-methyl-4-oxo-4,5-dihydro-3H-benzo(d)(1,2)diazepin-5-yl)propanamide	BCL2	0.708474338054657
increases^import	Glyceraldehyde 3-Phosphate	BCL2	0.7084742188453674
decreases^reaction	8-Hydroxy-2-(di-n-propylamino)tetralin	BCL2	0.7084739208221436
increases^uptake	Caffeine	RELA	0.708471417427063
increases^import	undecanal	BCL2	0.7084702253341675
increases^import	dolichol monophosphate	BCL2	0.7084684371948242
increases^import	Aminosalicylic Acid	BCL2	0.7084668874740601
increases^import	16 alpha-iodoestradiol	BCL2	0.7084668874740601
increases^import	Xylose	BCL2	0.7084657549858093
increases^import	methylbenzethonium chloride	PTGS2	0.7084653377532959
increases^import	isopropyl thioxanthone	BCL2	0.7084649801254272
increases^import	Ro 25-6981	BCL2	0.7084648013114929
increases^import	clemizole	BCL2	0.7084642648696899
increases^import	NRA 0160	BCL2	0.7084642052650452
increases^import	Desogestrel	BCL2	0.7084622383117676
affects^expression	Dieldrin	CDKN1A	0.7084564566612244
decreases^reaction	Quercetin	STAT3	0.7084556221961975
increases^import	2-amino-4-picoline	PARP1	0.7084479331970215
increases^import	galbanic acid	MMP9	0.7084472179412842
increases^ubiquitination	LY 311727	VEGFA	0.7084429860115051
decreases^reaction	benzamide	MMP9	0.7084357738494873
affects^cotreatment	Estradiol	ERBB2	0.7084344625473022
decreases^expression	Pravastatin	IL1B	0.7084341645240784
affects^activity	Equilenin	RELA	0.7084314823150635
decreases^reaction	bu-zhong-yi-qi-tang	JUN	0.7084299325942993
decreases^phosphorylation	galangin	MTOR	0.708427906036377
increases^response to substance	Arsenicals	SOD2	0.7084240913391113
increases^import	Oligonucleotides	BAX	0.7084236145019531
increases^phosphorylation	chrysin	APC	0.7084234356880188
affects^cotreatment	Dinoprostone	IL1B	0.7084232568740845
affects^metabolic processing	dienogest	BAX	0.7084220051765442
decreases^reaction	2,4-dihydroxy-N-(4-hydroxyphenyl)benzamide	NOS2	0.7084202766418457
increases^activity	tempol	ODC1	0.7084125876426697
increases^oxidation	NVP-AEW541	AKT1	0.7084121108055115
affects^activity	jasmine oil	RELA	0.7084115147590637
decreases^expression	Lipopolysaccharides	ACTA2	0.7084075808525085
increases^chemical synthesis	Bromodeoxyuridine	PARP1	0.7084065675735474
decreases^phosphorylation	pyrazolanthrone	BCL2	0.7084049582481384
increases^activity	MK-886	LPL	0.7084038853645325
affects^cotreatment	myricetin	RELA	0.7084027528762817
decreases^acetylation	Desoxycorticosterone	PTGS2	0.70839524269104
decreases^secretion	hydroxyfasudil	LEP	0.7083945870399475
affects^reaction	Ethanol	MMP9	0.7083892226219177
increases^transport	bisbenzimide ethoxide trihydrochloride	CTNNB1	0.7083773612976074
decreases^acetylation	Chlorambucil	PARP1	0.7083715200424194
affects^activity	secretoneurin	PARP1	0.7083643078804016
affects^expression	SN50 peptide	SOD2	0.7083643078804016
increases^expression	Tetradecanoylphorbol Acetate	HSPB1	0.7083625197410583
decreases^reaction	notoginsenoside R1	RELA	0.7083591222763062
decreases^reaction	deguelin	CDH1	0.7083534002304077
increases^methylation	tempol	VEGFA	0.7083523869514465
increases^uptake	Clonidine	ACTA2	0.7083523273468018
decreases^expression	Melatonin	NOS2	0.7083485722541809
affects^localization	Chalcones	RELA	0.7083483934402466
increases^ADP-ribosylation	galangin	ACTA2	0.708347737789154
increases^reaction	Emodin	CASP8	0.7083475589752197
increases^chemical synthesis	2,4-decadienal	BAX	0.7083384394645691
increases^activity	Melitten	EGFR	0.7083376049995422
affects^activity	Cyclodextrins	RELA	0.7083329558372498
increases^oxidation	NG-Nitroarginine Methyl Ester	CDKN1A	0.7083327174186707
increases^chemical synthesis	cafestol	CTNNB1	0.7083284854888916
affects^activity	fluphenacur	AKT1	0.7083238959312439
decreases^expression	delphinidin	BCL2	0.708321213722229
affects^activity	Gasoline	AKT1	0.708319365978241
decreases^acetylation	Desoxycorticosterone	BAX	0.7083173990249634
affects^activity	N1-(4-bis(pivaloyloxymethyl)phosphinylbuten-2-yl)thymine	AKT1	0.708315372467041
affects^activity	Vidarabine Phosphate	AKT1	0.7083144187927246
decreases^localization	andrographolide	JUN	0.7082995176315308
affects^reaction	tert-Butylhydroperoxide	CDKN1A	0.7082989811897278
decreases^uptake	juglone	BCL2	0.7082968354225159
decreases^acetylation	baicalein	RELA	0.7082957625389099
affects^methylation	GW0742	AKT1	0.708294689655304
increases^expression	Dinoprostone	BCL2	0.708291232585907
increases^import	Platelet Activating Factor	VEGFA	0.7082908749580383
affects^activity	chelerythrine	DNMT1	0.7082880735397339
increases^import	hexachlorobutadiene	CTNNB1	0.7082856893539429
increases^secretion	Glucosamine	VEGFA	0.7082852721214294
decreases^reaction	4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone	AKT1	0.7082846760749817
increases^cleavage	cobaltous chloride	VEGFA	0.7082823514938354
affects^activity	herbacetin	TP53	0.7082772850990295
increases^import	mono-isobutyl phthalate	CDKN1A	0.7082757353782654
increases^import	lipopolysaccharide, E. coli O26-B6	CTNNB1	0.7082749605178833
increases^reaction	Plant Extracts	BAX	0.7082713842391968
increases^import	8-chloroguanosine	VEGFA	0.7082676887512207
affects^expression	beta-methylcholine	JUN	0.7082639336585999
increases^reaction	destruxin B	CDH1	0.7082622647285461
affects^activity	2-phenyl-2-propanol	RELA	0.7082615494728088
affects^metabolic processing	Risperidone	CCND1	0.7082615494728088
affects^activity	DLJ14 compound	TP53	0.7082550525665283
decreases^expression	cyanoginosin LR	SOD2	0.708251416683197
decreases^expression	sulphoraphene	NOS2	0.7082461714744568
affects^expression	SN50 peptide	CASP8	0.7082375884056091
affects^activity	naxagolide	TP53	0.7082369327545166
affects^activity	FLB 457	RELA	0.7082332372665405
affects^activity	cryptotanshinone	HSPB1	0.708226203918457
decreases^expression	Methotrexate	TP53	0.708224892616272
decreases^secretion	Interleukin 1 Receptor Antagonist Protein	IL1B	0.7082201838493347
decreases^reaction	lafutidine	NOS2	0.7082185745239258
increases^import	SL 327	CDKN1A	0.7082163095474243
increases^activity	Adenosine Triphosphate	MMP9	0.708213746547699
decreases^expression	Rotenone	MTOR	0.7081937193870544
increases^localization	sphingosine 1-phosphate	ACTA2	0.7081927061080933
affects^activity	1,2-diphenoxyethane	AKT1	0.70819091796875
affects^activity	18-oxocortisol	PARP1	0.708189845085144
affects^activity	1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine	AKT1	0.7081887722015381
decreases^reaction	Cadmium Chloride	JUN	0.7081839442253113
affects^activity	metazachlor	RELA	0.7081823945045471
increases^abundance	BAY 11-7085	IL1B	0.7081804871559143
decreases^expression	fucoxanthin	CTNNB1	0.7081799507141113
affects^activity	phosphatidylinositol 3,4-diphosphate	PARP1	0.7081781625747681
affects^activity	SR 59104A	PARP1	0.7081769704818726
increases^expression	Tobacco Smoke Pollution	BAX	0.7081748843193054
affects^metabolic processing	SR 140333	RELA	0.7081709504127502
increases^reaction	thallium nitrate	BAX	0.708170473575592
increases^import	Zinc Oxide	CDKN1A	0.7081661224365234
increases^import	4-styrylpyrimidin-2-ylamine	CDKN1A	0.7081641554832458
increases^import	N-(3-aminopropyl)-N-(1-(5-benzyl-3-methyl-4-oxo-(1,2)thiazolo(5,4-d)pyrimidin-6-yl)-2-methylpropyl)-4-methylbenzamide	CDKN1A	0.7081637978553772
increases^import	aristolactam I	CDKN1A	0.7081632018089294
increases^import	bilirubin glucuronate	CDKN1A	0.7081629633903503
increases^import	Aminosalicylic Acid	CDKN1A	0.7081629633903503
increases^import	ethylene glycol monopropyl ether	CDKN1A	0.7081629037857056
increases^import	anthracene	VEGFA	0.7081621289253235
increases^import	muristerone A	CDKN1A	0.7081618905067444
increases^import	phenindamine	CDKN1A	0.7081617712974548
increases^import	deacetoxyvinzolidine	CDKN1A	0.7081612348556519
increases^import	Ro 25-6981	CDKN1A	0.7081611752510071
increases^import	2-(4-iodo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine	CDKN1A	0.7081602215766907
increases^import	7-hydroxy-3-methylcoumarin	CDKN1A	0.7081595659255981
increases^import	1,3-dipropyl-8-(2-amino-4-chlorophenyl)xanthine	CDKN1A	0.7081580758094788
increases^import	tetrakis(4-benzoic acid)porphyrin	CDKN1A	0.7081562280654907
affects^activity	zerumbone	PARP1	0.7081562280654907
affects^cotreatment	2-Acetylaminofluorene	BAX	0.7081509232521057
affects^activity	ferric sulfate	AKT1	0.7081414461135864
decreases^expression	Nicorandil	PTGS2	0.7081414461135864
affects^activity	Nefopam	AKT1	0.7081385254859924
affects^activity	Titanocene Y	AKT1	0.7081367373466492
increases^ADP-ribosylation	16-(4-fluorophenoxy)lipoxin A4	VEGFA	0.7081349492073059
affects^activity	Cardenolides	PARP1	0.7081336975097656
increases^ADP-ribosylation	fructose-1,6-diphosphate	CTNNB1	0.7081327438354492
affects^activity	(R)-N-(4-(4-methoxyphenyl)thiazol-2-yl)-1-tosylpiperidine-2-carboxamide	RELA	0.7081313729286194
decreases^reaction	T-2 Toxin	IL1B	0.7081310153007507
affects^cotreatment	SB 203580	BAX	0.7081283330917358
increases^expression	palbociclib	CDKN1A	0.7081246972084045
increases^expression	Bee Venoms	BCL2	0.7081206440925598
affects^cotreatment	Platinum	BAX	0.7081204056739807
increases^activity	Carbon Monoxide	CASP8	0.7081178426742554
increases^import	Gonadal Steroid Hormones	RELA	0.7081170082092285
decreases^expression	Dihydrotestosterone	BAX	0.7081157565116882
affects^activity	Cyclodextrins	PARP1	0.7081136107444763
affects^activity	3-oxo-29-noroleana-1,9(11),12-trien-2,20-dicarbonitrile	CTNNB1	0.7081122994422913
increases^activity	SCH 23390	RELA	0.7081104516983032
affects^activity	SJ 000311413	AKT1	0.7081092000007629
decreases^reaction	Aspirin	MMP7	0.7081050872802734
increases^chemical synthesis	Buthionine Sulfoximine	NOS2	0.7081021070480347
increases^phosphorylation	cyanoginosin LR	PARP1	0.7080977559089661
increases^oxidation	arzanol	ACTA2	0.7080963253974915
decreases^expression	Reactive Oxygen Species	PTGS2	0.7080946564674377
decreases^expression	norcantharidin	MMP9	0.7080935835838318
affects^cotreatment	Gallic Acid	JUN	0.7080870270729065
increases^import	Acarbose	VEGFA	0.7080866098403931
increases^stability	Reactive Oxygen Species	BCL2	0.7080850601196289
affects^activity	DLJ14 compound	AKT1	0.7080809473991394
increases^expression	belinostat	PARP1	0.7080782055854797
affects^cotreatment	Azoxymethane	PCNA	0.7080713510513306
increases^ADP-ribosylation	Quinazolines	BCL2	0.7080702781677246
affects^reaction	Ethanol	BCL2	0.7080689668655396
affects^activity	Protons	RELA	0.7080674171447754
increases^expression	SK&F 83959	SPARC	0.7080671787261963
increases^methylation	tempol	RELA	0.7080663442611694
affects^activity	naxagolide	AKT1	0.7080657482147217
affects^cotreatment	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	CDH1	0.7080602645874023
decreases^abundance	Superoxides	SOD2	0.7080572843551636
affects^activity	lasiocarpine	SOD2	0.7080551385879517
affects^activity	Equilenin	AKT1	0.7080544829368591
affects^activity	darglitazone	AKT1	0.7080539464950562
affects^activity	4-hydroxyclonidine	RELA	0.708049476146698
affects^reaction	4,4'-hexafluorisopropylidene diphenol	AKT1	0.7080473303794861
increases^response to substance	germacrone	TP53	0.7080469727516174
affects^activity	2-chloro-1,4-benzoquinone	AKT1	0.7080432772636414
increases^import	Vanillic Acid	PTGS2	0.7080428004264832
increases^activity	honokiol	RELA	0.7080425024032593
increases^import	N-(3-aminopropyl)-N-(1-(5-benzyl-3-methyl-4-oxo-(1,2)thiazolo(5,4-d)pyrimidin-6-yl)-2-methylpropyl)-4-methylbenzamide	PTGS2	0.7080411911010742
increases^import	pyridoxal isonicotinoyl hydrazone	PTGS2	0.7080407738685608
increases^import	peroben	PTGS2	0.708040714263916
increases^import	aristolactam I	PTGS2	0.7080405354499817
increases^import	clemizole	PTGS2	0.7080404758453369
increases^import	3-methoxycatechol	PTGS2	0.7080398797988892
affects^activity	Contact Lens Solutions	RELA	0.7080395817756653
increases^import	Org 34850	PTGS2	0.7080395221710205
increases^import	Xylose	PTGS2	0.7080394625663757
increases^import	brivaracetam	PTGS2	0.7080382108688354
increases^import	2-propylthio-D-beta,gamma-difluoromethylene ATP	PTGS2	0.7080373764038086
increases^import	(3,4-dihydroxyphenylamino)-2-imidazoline	PTGS2	0.7080367803573608
increases^import	Bisoprolol	PTGS2	0.7080367803573608
affects^activity	N-hydroxy-3-(1-(phenylthio)methyl-1H-1,2,3-triazol-4-yl)benzamide	RELA	0.7080355286598206
affects^activity	N-phenyl-1-naphthylamine	TP53	0.708034098148346
increases^expression	6,2',4'-trimethoxyflavone	STAT3	0.70803302526474
increases^activity	Diclofenac	NFKB1	0.7080316543579102
decreases^expression	Mitomycin	BAX	0.7080296874046326
affects^metabolic processing	Benzothiazoles	TP53	0.7080276012420654
affects^binding	Bezafibrate	JUN	0.7080267667770386
increases^cleavage	Docetaxel	CASP8	0.7080265283584595
increases^expression	benzo(b)fluoranthene	BCL2	0.708026111125946
increases^cleavage	Miransertib	ACTA2	0.7080256938934326
affects^response to substance	tetrachlorobenzoquinone	PARP1	0.7080223560333252
affects^activity	calcium bicarbonate	AKT1	0.7080177068710327
affects^activity	jasmine oil	AKT1	0.708016574382782
affects^activity	Piclozotan	PARP1	0.7080153226852417
increases^import	1-palmitoyl-2-arachidonyl-3-phosphorylcholine	SOD2	0.7080143690109253
affects^activity	hachimijiogan	TP53	0.7080113887786865
increases^expression	monomethylarsonous acid	PARP1	0.7080082297325134
increases^chemical synthesis	Bromodeoxyuridine	CASP8	0.7080080509185791
affects^methylation	GW0742	DNMT1	0.7080069184303284
affects^activity	2,4-dimethylphenol	RELA	0.7080063819885254
increases^ADP-ribosylation	lornoxicam	TP53	0.7080016732215881
increases^expression	3,4-dihydroxyphenylethanol	VEGFA	0.7079986929893494
increases^expression	6-isopropoxy-9-oxoxanthene-2-carboxylic acid	PTGS2	0.7079930901527405
affects^response to substance	tetrachlorobenzoquinone	PTGS2	0.7079923152923584
increases^ADP-ribosylation	spermine nitric oxide complex	CTNNB1	0.7079799771308899
increases^oxidation	bisacurone	APC	0.7079716920852661
affects^activity	metazachlor	TP53	0.707960844039917
increases^import	Xylose	RELA	0.7079594135284424
increases^import	Tolazamide	RELA	0.7079588174819946
increases^import	Org 34850	RELA	0.7079582214355469
increases^import	1-hydroxyethyl radical	RELA	0.7079576253890991
increases^import	Glyceraldehyde 3-Phosphate	RELA	0.70795738697052
increases^import	bombesin (6-14), Tpi(6)-Leu(13)-psi(CH2NH)-Leu(14)-	RELA	0.7079571485519409
increases^import	diaqua(disalicylaldehyde ethylenediamine)chromium(III)	RELA	0.7079554796218872
increases^import	potassium periodate	RELA	0.7079541087150574
increases^import	microorganism fermentation extract	RELA	0.707953929901123
increases^import	brivaracetam	RELA	0.7079529762268066
increases^import	1,3-dipropyl-8-(2-amino-4-chlorophenyl)xanthine	RELA	0.7079522013664246
affects^activity	VX-745	TP53	0.7079519629478455
increases^uptake	Cromolyn Sodium	BAX	0.7079492211341858
increases^import	indium trichloride	RELA	0.707947850227356
decreases^expression	Olive Oil	BCL2	0.7079461812973022
affects^activity	AG-879	AKT1	0.7079437971115112
increases^response to substance	germacrone	PTGS2	0.7079434394836426
increases^secretion	benzamide	RELA	0.7079407572746277
decreases^expression	Drugs, Chinese Herbal	CCND1	0.7079374194145203
affects^activity	Gasoline	CTNNB1	0.7079348564147949
affects^metabolic processing	Oxyquinoline	PARP1	0.7079319953918457
affects^activity	nitrapyrin	TP53	0.7079302072525024
decreases^methylation	Homocysteine	BAX	0.7079272866249084
increases^secretion	Glycolipids	APC	0.7079260349273682
increases^phosphorylation	calyculin A	CTNNB1	0.707923948764801
increases^import	2-chloro-N-(4-chlorobiphenyl-2-yl)nicotinamide	CTNNB1	0.7079150676727295
decreases^reaction	tetramethylpyrazine	ACTA2	0.707913875579834
affects^activity	Nefopam	BAX	0.7079136967658997
affects^activity	perfluoroundecanoic acid	AKT1	0.7079101800918579
affects^activity	(R)-N-(4-(4-methoxyphenyl)thiazol-2-yl)-1-tosylpiperidine-2-carboxamide	PARP1	0.7079096436500549
increases^ADP-ribosylation	Indinavir	CDKN1A	0.7079046368598938
increases^oxidation	lard	CCND1	0.7079041600227356
decreases^expression	norbinaltorphimine	BCL2	0.7079008221626282
affects^activity	BMS-906024	RELA	0.7078923583030701
decreases^reaction	2-aminoethoxydiphenyl borate	IL1B	0.7078919410705566
affects^activity	Aztreonam	AKT1	0.7078918814659119
affects^activity	7-benzylidenenaltrexone	TP53	0.7078891396522522
increases^ADP-ribosylation	AGN 194204	PTGS2	0.7078880667686462
decreases^reaction	Pertussis Toxin	BCL2	0.7078847885131836
decreases^phosphorylation	Resveratrol	EGFR	0.7078846096992493
increases^oxidation	6-Ketoprostaglandin F1 alpha	RELA	0.7078844904899597
decreases^reaction	notoginsenoside R1	PTGS2	0.707883894443512
affects^reaction	Estradiol	CCND1	0.7078782916069031
affects^activity	O,O-diethylphosphorylcholine iodide	RELA	0.7078754305839539
decreases^abundance	Arachidonic Acid	APC	0.7078701257705688
decreases^reaction	Cholesterol	ICAM1	0.7078698873519897
affects^response to substance	Irinotecan	TP53	0.7078627347946167
increases^metabolic processing	Amino Acids, Peptides, and Proteins	CTNNB1	0.7078620195388794
increases^expression	Eugenol	PTGS2	0.7078553438186646
decreases^methylation	methylmercuric chloride	MMP9	0.7078535556793213
decreases^response to substance	NKCT1 protein, Naja kaouthia	PTGS2	0.7078518271446228
affects^cotreatment	Palmitic Acid	TP53	0.707851767539978
affects^activity	nafazatrom	BAX	0.7078459858894348
decreases^abundance	N-Methyl-3,4-methylenedioxyamphetamine	SOD2	0.70784592628479
affects^activity	retinol acetate	AKT1	0.7078441977500916
decreases^reaction	1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt	PARP1	0.707844078540802
decreases^reaction	Staurosporine	NFKB1	0.7078401446342468
increases^phosphorylation	quercetin 3-O-glucuronide	RELA	0.7078386545181274
increases^secretion	Glucosamine	SOD2	0.7078381180763245
affects^activity	BI D1870	CDKN1A	0.7078357338905334
increases^expression	Dexamethasone	CCND1	0.7078273296356201
increases^expression	Dexamethasone	ACTA2	0.7078258991241455
increases^secretion	Chrysenes	APC	0.707819938659668
decreases^expression	lead acetate	CASP8	0.7078155875205994
affects^export	Lactulose	BCL2	0.7078093886375427
affects^activity	rosemary oil	RELA	0.7078062295913696
increases^expression	Cholecalciferol	VEGFA	0.7078043222427368
increases^import	Platelet Activating Factor	SOD2	0.7077984809875488
increases^import	Acarbose	CCND1	0.7077970504760742
affects^activity	Glutaral	RELA	0.7077913284301758
increases^import	Procaterol	CASP8	0.7077845931053162
decreases^reaction	S-allylcysteine	RELA	0.7077834010124207
increases^phosphorylation	Deoxyglucose	PARP1	0.7077814936637878
decreases^reaction	notoginsenoside R1	PARP1	0.7077795267105103
increases^import	IH 764-3	VEGFA	0.7077785730361938
increases^import	Glyceraldehyde 3-Phosphate	VEGFA	0.7077785134315491
increases^import	4-styrylpyrimidin-2-ylamine	VEGFA	0.7077782154083252
increases^import	6-O-angeloylenolin	CASP8	0.7077780961990356
affects^activity	dehydroevodiamine	TP53	0.7077780961990356
increases^import	Trenbolone Acetate	VEGFA	0.7077779769897461
increases^import	Vanillic Acid	VEGFA	0.7077779173851013
increases^import	ethylene glycol monopropyl ether	VEGFA	0.7077776193618774
increases^import	sodium percarbonate	VEGFA	0.7077772617340088
increases^import	Mephobarbital	VEGFA	0.7077764272689819
increases^import	Levorphanol	VEGFA	0.707775890827179
increases^import	2,6-di-tert-butyl-4-hydroxy-4-methyl-2,5-cyclohexadien-1-one	VEGFA	0.7077756524085999
increases^import	benzylamine	VEGFA	0.7077754139900208
increases^import	Tamsulosin	VEGFA	0.7077751755714417
increases^import	3,7-dimethyl-1-propargylxanthine	VEGFA	0.7077748775482178
increases^import	testosterone 17 beta-cypionate	VEGFA	0.7077744603157043
increases^expression	Acrylamide	PTGS2	0.7077742218971252
increases^reaction	Air Pollutants	MMP9	0.7077715992927551
affects^reaction	Paclitaxel	AKT1	0.7077635526657104
increases^activity	Potassium Dichromate	STAT3	0.7077615857124329
increases^ADP-ribosylation	Cimetidine	APC	0.7077579498291016
increases^expression	Arachidonic Acid	TP53	0.7077444195747375
increases^secretion	benzamide	VEGFA	0.7077401280403137
decreases^reaction	allylpyrocatechol	PTGS2	0.7077398300170898
increases^reaction	pregna-4,17-diene-3,16-dione	RELA	0.7077387571334839
affects^folding	tizanidine	AKT1	0.707733690738678
affects^metabolic processing	siomycin A	CTNNB1	0.7077286839485168
increases^chemical synthesis	myrtenal	MMP9	0.7077210545539856
affects^activity	EKB 569	PTGS2	0.7077199816703796
decreases^response to substance	NKCT1 protein, Naja kaouthia	BAX	0.7077191472053528
decreases^expression	C646 compound	RELA	0.7077187895774841
affects^activity	N1-(4-bis(pivaloyloxymethyl)phosphinylbuten-2-yl)thymine	CASP8	0.707708477973938
affects^activity	Vidarabine Phosphate	CASP8	0.7077054381370544
increases^transport	aliskiren	AKT1	0.7077051401138306
decreases^reaction	Nitroprusside	NFKB1	0.7077044248580933
increases^ADP-ribosylation	sodium nitrate	PTGS2	0.7077028155326843
affects^activity	GSK5182	CASP8	0.7077025771141052
affects^activity	diacetyldiphenylurea bisguanylhydrazone	SOD2	0.7077006101608276
affects^folding	4-oxoretinol	DNMT1	0.7076948881149292
increases^oxidation	6-Ketoprostaglandin F1 alpha	APC	0.7076939940452576
increases^import	methylbenzethonium chloride	CASP8	0.7076930403709412
increases^reaction	sodium arsenite	PCNA	0.7076868414878845
affects^activity	Gabapentin	RELA	0.7076844573020935
decreases^reaction	Hydrochloric Acid	ICAM1	0.7076829075813293
affects^activity	BMS-906024	TP53	0.7076804637908936
increases^expression	Azathioprine	JUN	0.7076696157455444
affects^activity	trimethyllead	CASP8	0.7076690196990967
decreases^reaction	salvin	NOS2	0.707668662071228
increases^reaction	Acetaminophen	NFKB1	0.7076679468154907
affects^activity	Insulin Glargine	CDKN1A	0.7076641321182251
increases^ADP-ribosylation	ginsenoside Rh1	BCL2	0.7076566219329834
decreases^phosphorylation	sulindac sulfide	STAT3	0.7076561450958252
affects^expression	Acetaminophen	LEP	0.707653820514679
increases^import	dichloroallyl lawsone	TP53	0.7076528668403625
increases^import	FG 0041	TP53	0.7076526284217834
increases^import	2-hydroxymenthofuran	TP53	0.7076519131660461
increases^import	Tripelennamine	TP53	0.7076505422592163
increases^import	tele-methylhistamine	TP53	0.7076491117477417
increases^import	maltotetraose	TP53	0.7076488137245178
increases^import	testosterone 17 beta-cypionate	TP53	0.7076486945152283
decreases^expression	Estradiol	SOD2	0.7076482176780701
increases^secretion	octyl gallate	DNMT1	0.7076476216316223
increases^import	3-(3,4-difluorophenyl)-4-(4-(methylsulfonyl)phenyl)-2(5H)-furanone	ACTA2	0.7076467871665955
decreases^reaction	Palmitic Acid	MTOR	0.7076460123062134
